Mã,Chỉ số,2020,2021,2022,2023,2024
ABI,Biên EBIT (%),13.35,11.97,7.49,6.72,4.91
ABI,Biên lợi nhuận gộp (%),41.74,38.07,31.3,35.52,32.25
ABI,Biên lợi nhuận ròng (%),17.22,15.15,11.51,12.2,9.51
ABI,Chỉ số thanh toán hiện thời,1.44,1.49,1.55,1.56,1.49
ABI,Chỉ số thanh toán nhanh,1.26,1.31,1.37,1.38,1.27
ABI,Chỉ số thanh toán tiền mặt,0.03,0.03,0.04,0.05,0.05
ABI,Đòn bẩy tài chính,2.86,2.68,2.57,2.58,2.82
ABR,Biên EBIT (%),23.08,18.47,27.12,15.13,39.16
ABR,Biên lợi nhuận gộp (%),53.68,48.8,50.97,61.97,80.36
ABR,Biên lợi nhuận ròng (%),25.17,21.2,28.21,57.72,67.25
ABR,Chỉ số thanh toán hiện thời,4.62,4.48,2.38,3.44,2.38
ABR,Chỉ số thanh toán nhanh,4.55,4.47,2.36,3.41,2.37
ABR,Chỉ số thanh toán tiền mặt,2.24,0.93,0.26,0.07,0.09
ABR,Đòn bẩy tài chính,1.19,1.22,1.31,1.21,1.2
ABS,Biên EBIT (%),6.06,3.56,4.22,-0.58,-4.26
ABS,Biên lợi nhuận gộp (%),7.61,4.87,5.47,3.77,1.59
ABS,Biên lợi nhuận ròng (%),4.34,5.45,1.4,0.81,0.65
ABS,Chỉ số thanh toán hiện thời,1.18,1.92,1.78,1.69,11.17
ABS,Chỉ số thanh toán nhanh,1.17,1.89,1.77,1.68,11.15
ABS,Chỉ số thanh toán tiền mặt,0.0,0.0,0.0,0.0,0.0
ABS,Đòn bẩy tài chính,2.69,1.72,1.84,1.73,1.09
ABS,Khả năng chi trả lãi vay,8.23,1.28,1.53,-0.08,-0.46
ABT,Biên EBIT (%),2.59,5.77,8.99,8.91,11.31
ABT,Biên lợi nhuận gộp (%),11.67,18.96,18.94,15.69,18.73
ABT,Biên lợi nhuận ròng (%),4.49,9.89,10.43,11.99,14.24
ABT,Chỉ số thanh toán hiện thời,2.01,1.72,2.03,2.14,1.97
ABT,Chỉ số thanh toán nhanh,0.79,0.68,1.25,1.55,1.47
ABT,Chỉ số thanh toán tiền mặt,0.44,0.4,0.86,0.07,0.26
ABT,Đòn bẩy tài chính,1.32,1.42,1.32,1.33,1.42
ABT,Khả năng chi trả lãi vay,2.83,9.56,17.29,9.68,17.22
ABW,Biên EBIT (%),25.46,35.86,44.19,45.91,51.75
ABW,Biên lợi nhuận gộp (%),52.28,53.81,63.77,73.31,71.24
ABW,Biên lợi nhuận ròng (%),21.74,26.19,24.08,25.22,29.06
ABW,Chỉ số thanh toán hiện thời,2.51,2.48,2.55,2.27,1.31
ABW,Chỉ số thanh toán tiền mặt,0.27,0.03,0.24,0.3,0.05
ABW,Đòn bẩy tài chính,1.7,1.77,1.57,1.72,2.35
ABW,Khả năng chi trả lãi vay,NaN,12.86,3.04,2.56,3.46
ACB,Đòn bẩy tài chính,12.54,11.75,10.4,10.13,10.35
ACC,Biên EBIT (%),18.1,13.32,10.78,14.79,12.76
ACC,Biên lợi nhuận gộp (%),27.42,20.68,15.95,19.42,15.58
ACC,Biên lợi nhuận ròng (%),13.41,10.91,12.7,10.77,7.53
ACC,Chỉ số thanh toán hiện thời,2.13,1.81,2.17,1.98,1.18
ACC,Chỉ số thanh toán nhanh,1.15,0.61,1.12,0.81,0.44
ACC,Chỉ số thanh toán tiền mặt,0.56,0.21,0.13,0.02,0.03
ACC,Đòn bẩy tài chính,1.8,2.47,1.73,1.83,2.24
ACC,Khả năng chi trả lãi vay,6.67,2.1,2.93,2.16,2.2
ACE,Biên EBIT (%),8.39,10.71,7.68,7.56,NaN
ACE,Biên lợi nhuận gộp (%),19.63,21.67,15.31,18.03,NaN
ACE,Biên lợi nhuận ròng (%),6.47,7.65,5.51,5.03,NaN
ACE,Chỉ số thanh toán hiện thời,1.71,1.46,1.48,1.58,NaN
ACE,Chỉ số thanh toán nhanh,1.26,0.86,0.78,0.97,NaN
ACE,Chỉ số thanh toán tiền mặt,0.6,0.27,0.17,0.12,NaN
ACE,Đòn bẩy tài chính,2.77,2.49,2.45,2.35,NaN
ACE,Khả năng chi trả lãi vay,14.86,13.24,7.68,5.55,NaN
ACG,Biên EBIT (%),12.46,12.51,13.9,10.97,11.24
ACG,Biên lợi nhuận gộp (%),27.12,27.2,29.89,29.44,31.43
ACG,Biên lợi nhuận ròng (%),13.11,13.7,13.75,11.61,10.55
ACG,Chỉ số thanh toán hiện thời,3.86,3.05,2.49,3.1,2.84
ACG,Chỉ số thanh toán nhanh,2.61,1.88,1.51,2.23,2.16
ACG,Chỉ số thanh toán tiền mặt,0.06,0.08,0.25,0.05,0.11
ACG,Đòn bẩy tài chính,1.27,1.32,1.4,1.32,1.35
ACG,Khả năng chi trả lãi vay,36.44,19.18,19.51,10.63,16.23
ACL,Biên EBIT (%),7.83,6.38,13.96,5.0,1.61
ACL,Biên lợi nhuận gộp (%),15.77,12.72,23.59,14.85,10.83
ACL,Biên lợi nhuận ròng (%),2.96,3.47,10.11,0.88,0.6
ACL,Chỉ số thanh toán hiện thời,1.37,1.54,1.84,1.56,1.64
ACL,Chỉ số thanh toán nhanh,0.29,0.32,0.31,0.31,0.41
ACL,Chỉ số thanh toán tiền mặt,0.04,0.14,0.06,0.07,0.08
ACL,Đòn bẩy tài chính,2.39,2.06,1.8,2.19,2.06
ACL,Khả năng chi trả lãi vay,1.67,2.41,4.83,1.24,0.93
ACM,Chỉ số thanh toán hiện thời,0.88,0.76,0.82,0.88,NaN
ACM,Chỉ số thanh toán nhanh,0.19,0.13,0.11,0.09,NaN
ACM,Chỉ số thanh toán tiền mặt,0.02,0.0,0.0,0.0,NaN
ACM,Đòn bẩy tài chính,1.43,1.47,1.52,1.56,NaN
ACM,Khả năng chi trả lãi vay,-5.17,-0.12,-0.06,-0.11,NaN
ACS,Biên EBIT (%),2.42,3.07,-0.46,2.77,NaN
ACS,Biên lợi nhuận gộp (%),5.97,9.79,11.09,11.32,NaN
ACS,Biên lợi nhuận ròng (%),1.15,0.59,0.0,0.01,NaN
ACS,Chỉ số thanh toán hiện thời,1.04,1.07,1.14,1.16,NaN
ACS,Chỉ số thanh toán nhanh,0.67,0.63,0.53,0.35,NaN
ACS,Chỉ số thanh toán tiền mặt,0.17,0.04,0.04,0.05,NaN
ACS,Đòn bẩy tài chính,7.11,6.51,4.99,5.29,NaN
ACS,Khả năng chi trả lãi vay,2.39,1.17,-0.14,0.79,NaN
ACV,Biên EBIT (%),7.43,-44.23,33.13,40.49,54.54
ACV,Biên lợi nhuận gộp (%),17.89,-16.53,47.07,59.31,61.24
ACV,Biên lợi nhuận ròng (%),21.13,16.62,51.35,42.35,51.33
ACV,Chỉ số thanh toán hiện thời,9.76,10.19,7.44,6.35,5.25
ACV,Chỉ số thanh toán nhanh,9.63,10.02,7.29,6.16,5.01
ACV,Chỉ số thanh toán tiền mặt,0.13,0.16,0.46,0.42,0.82
ACV,Đòn bẩy tài chính,1.51,1.46,1.37,1.34,1.29
ACV,Khả năng chi trả lãi vay,6.0,-23.67,62.58,121.01,203.25
ADC,Biên EBIT (%),3.44,3.93,4.24,3.98,3.87
ADC,Biên lợi nhuận gộp (%),35.45,37.61,35.99,32.88,33.83
ADC,Biên lợi nhuận ròng (%),3.25,3.47,3.37,3.3,3.42
ADC,Chỉ số thanh toán hiện thời,1.36,1.47,1.43,1.58,1.61
ADC,Chỉ số thanh toán nhanh,0.95,0.94,0.77,1.02,1.23
ADC,Chỉ số thanh toán tiền mặt,0.55,0.24,0.13,0.47,0.22
ADC,Đòn bẩy tài chính,2.16,2.15,2.24,2.08,2.11
ADG,Biên EBIT (%),8.66,5.56,8.72,4.82,3.71
ADG,Biên lợi nhuận gộp (%),17.14,12.13,17.26,18.96,15.7
ADG,Biên lợi nhuận ròng (%),8.74,6.61,9.81,5.4,4.55
ADG,Chỉ số thanh toán hiện thời,1.64,2.09,3.04,2.62,2.25
ADG,Chỉ số thanh toán nhanh,1.63,2.05,3.0,2.59,2.17
ADG,Chỉ số thanh toán tiền mặt,0.1,0.06,0.42,0.32,0.46
ADG,Đòn bẩy tài chính,1.85,1.67,1.26,1.3,1.28
ADG,Khả năng chi trả lãi vay,19.1,8.32,5.11,5.23,10.6
ADP,Biên EBIT (%),16.45,13.54,7.22,12.34,12.39
ADP,Biên lợi nhuận gộp (%),24.91,22.11,15.18,19.28,19.24
ADP,Biên lợi nhuận ròng (%),13.7,11.96,6.82,11.42,10.39
ADP,Chỉ số thanh toán hiện thời,4.14,5.12,3.66,3.6,3.83
ADP,Chỉ số thanh toán nhanh,2.7,3.77,2.77,2.27,2.17
ADP,Chỉ số thanh toán tiền mặt,0.26,0.2,0.13,0.2,0.12
ADP,Đòn bẩy tài chính,1.23,1.19,1.31,1.33,1.3
ADP,Khả năng chi trả lãi vay,101.56,2397.26,2423.43,NaN,NaN
ADS,Biên EBIT (%),2.26,7.99,5.33,8.3,5.36
ADS,Biên lợi nhuận gộp (%),4.73,11.72,8.12,11.33,8.18
ADS,Biên lợi nhuận ròng (%),1.83,6.64,4.43,4.57,3.44
ADS,Chỉ số thanh toán hiện thời,1.15,1.24,1.22,1.32,1.24
ADS,Chỉ số thanh toán nhanh,0.78,0.78,0.89,0.96,0.89
ADS,Chỉ số thanh toán tiền mặt,0.03,0.1,0.04,0.1,0.17
ADS,Đòn bẩy tài chính,4.35,3.4,3.32,2.73,2.72
ADS,Khả năng chi trả lãi vay,0.69,3.38,2.04,2.29,NaN
AFX,Biên EBIT (%),1.92,-3.18,0.12,2.94,1.87
AFX,Biên lợi nhuận gộp (%),5.94,0.97,2.48,4.31,3.4
AFX,Biên lợi nhuận ròng (%),2.52,2.75,1.78,1.24,1.36
AFX,Chỉ số thanh toán hiện thời,5.0,1.87,1.5,1.39,1.11
AFX,Chỉ số thanh toán nhanh,2.53,1.42,1.26,1.18,0.98
AFX,Chỉ số thanh toán tiền mặt,0.22,0.24,0.15,0.01,0.02
AFX,Đòn bẩy tài chính,1.15,1.61,2.57,2.57,4.19
AFX,Khả năng chi trả lãi vay,6.53,-4.5,0.09,1.26,1.0
AG1,Biên EBIT (%),-6.34,-8.92,4.77,3.62,1.98
AG1,Biên lợi nhuận gộp (%),9.3,4.49,14.68,14.63,11.76
AG1,Biên lợi nhuận ròng (%),-6.43,-9.33,4.87,4.01,2.56
AG1,Chỉ số thanh toán hiện thời,1.26,1.12,1.25,1.38,1.44
AG1,Chỉ số thanh toán nhanh,0.37,0.38,0.23,0.36,0.58
AG1,Chỉ số thanh toán tiền mặt,0.11,0.13,0.09,0.07,0.42
AG1,Đòn bẩy tài chính,2.36,3.29,3.24,2.83,2.66
AG1,Khả năng chi trả lãi vay,-13.24,-11.06,14.55,11.09,58.08
AGF,Biên EBIT (%),-25.46,-2.04,3.45,8.56,7.05
AGF,Biên lợi nhuận gộp (%),11.73,6.91,6.52,11.68,10.17
AGF,Biên lợi nhuận ròng (%),-32.52,-19.72,-3.59,-1.33,-0.75
AGF,Chỉ số thanh toán hiện thời,0.48,0.35,0.26,0.22,0.34
AGF,Chỉ số thanh toán nhanh,0.11,0.1,0.15,0.15,0.29
AGF,Chỉ số thanh toán tiền mặt,0.0,0.04,0.05,0.02,0.03
AGF,Đòn bẩy tài chính,-8.78,-2.78,-1.94,-1.61,-1.55
AGF,Khả năng chi trả lãi vay,-3.87,-0.25,0.52,0.92,0.99
AGG,Biên EBIT (%),3.15,4.29,4.46,10.44,13.39
AGG,Biên lợi nhuận gộp (%),15.5,22.05,16.92,25.11,31.02
AGG,Biên lợi nhuận ròng (%),25.36,23.29,1.56,11.83,13.64
AGG,Chỉ số thanh toán hiện thời,2.02,1.83,1.45,1.57,1.81
AGG,Chỉ số thanh toán nhanh,0.56,0.6,0.74,1.14,1.53
AGG,Chỉ số thanh toán tiền mặt,0.12,0.07,0.12,0.15,0.05
AGG,Đòn bẩy tài chính,4.2,4.7,4.07,3.23,2.24
AGG,Khả năng chi trả lãi vay,1.1,0.63,1.73,3.42,2.0
AGM,Biên EBIT (%),1.04,0.56,-4.74,-11.99,-56.29
AGM,Biên lợi nhuận gộp (%),7.87,5.97,5.23,2.42,-0.17
AGM,Biên lợi nhuận ròng (%),1.26,1.14,-6.79,-28.03,-104.35
AGM,Chỉ số thanh toán hiện thời,1.84,1.26,0.76,0.29,0.16
AGM,Chỉ số thanh toán nhanh,1.14,1.04,0.6,0.25,0.13
AGM,Chỉ số thanh toán tiền mặt,0.34,0.23,0.01,0.01,0.0
AGM,Đòn bẩy tài chính,1.73,3.85,5.41,56.68,-4.44
AGM,Khả năng chi trả lãi vay,1.32,1.04,-1.73,-0.85,-1.46
AGP,Biên EBIT (%),11.11,11.83,11.71,12.74,11.37
AGP,Biên lợi nhuận gộp (%),32.85,35.84,33.38,29.61,29.37
AGP,Biên lợi nhuận ròng (%),5.83,6.37,6.25,6.01,6.16
AGP,Chỉ số thanh toán hiện thời,1.16,1.2,1.16,1.1,1.06
AGP,Chỉ số thanh toán nhanh,0.59,0.54,0.53,0.52,0.48
AGP,Chỉ số thanh toán tiền mặt,0.04,0.06,0.02,0.05,0.02
AGP,Đòn bẩy tài chính,2.75,2.89,2.55,2.53,2.74
AGP,Khả năng chi trả lãi vay,3.19,3.35,3.33,2.61,3.07
AGR,Biên EBIT (%),53.04,67.5,44.16,53.99,48.88
AGR,Biên lợi nhuận gộp (%),91.33,95.82,66.34,83.02,72.88
AGR,Biên lợi nhuận ròng (%),43.06,98.97,39.83,40.49,32.73
AGR,Chỉ số thanh toán hiện thời,10.13,9.58,8.85,5.07,3.16
AGR,Chỉ số thanh toán tiền mặt,0.71,0.1,1.01,0.93,0.27
AGR,Đòn bẩy tài chính,1.09,1.12,1.12,1.23,1.42
AGR,Khả năng chi trả lãi vay,NaN,NaN,NaN,14.11,5.91
AGX,Biên EBIT (%),10.64,15.23,15.25,14.99,NaN
AGX,Biên lợi nhuận gộp (%),19.22,25.15,24.81,21.39,NaN
AGX,Biên lợi nhuận ròng (%),10.0,10.93,14.04,15.2,NaN
AGX,Chỉ số thanh toán hiện thời,2.61,2.64,4.36,7.58,NaN
AGX,Chỉ số thanh toán nhanh,1.74,1.87,3.27,5.99,NaN
AGX,Chỉ số thanh toán tiền mặt,0.19,0.16,0.49,1.32,NaN
AGX,Đòn bẩy tài chính,1.31,1.35,1.2,1.12,NaN
AGX,Khả năng chi trả lãi vay,49.63,113.12,70.85,165.63,NaN
AIC,Biên EBIT (%),-18.31,-15.32,-8.71,-7.59,-5.53
AIC,Biên lợi nhuận gộp (%),1.09,1.92,2.27,6.7,7.67
AIC,Biên lợi nhuận ròng (%),0.87,1.16,0.89,1.24,0.48
AIC,Chỉ số thanh toán hiện thời,1.34,1.1,1.11,1.3,1.22
AIC,Chỉ số thanh toán nhanh,1.02,0.8,0.81,0.98,0.86
AIC,Chỉ số thanh toán tiền mặt,0.18,0.09,0.17,0.07,0.06
AIC,Đòn bẩy tài chính,2.82,3.31,3.48,3.65,4.62
AIG,Biên EBIT (%),NaN,NaN,NaN,7.85,8.0
AIG,Biên lợi nhuận gộp (%),NaN,NaN,NaN,15.26,15.86
AIG,Biên lợi nhuận ròng (%),NaN,NaN,NaN,6.6,6.79
AIG,Chỉ số thanh toán hiện thời,NaN,NaN,NaN,1.77,1.68
AIG,Chỉ số thanh toán nhanh,NaN,NaN,NaN,1.19,1.04
AIG,Chỉ số thanh toán tiền mặt,NaN,NaN,NaN,0.1,0.17
AIG,Đòn bẩy tài chính,NaN,NaN,NaN,1.74,1.75
AIG,Khả năng chi trả lãi vay,NaN,NaN,NaN,7.59,8.9
ALT,Biên EBIT (%),-0.01,2.77,3.39,1.56,0.59
ALT,Biên lợi nhuận gộp (%),13.8,17.38,16.61,14.2,11.6
ALT,Biên lợi nhuận ròng (%),2.12,2.36,3.61,2.31,0.41
ALT,Chỉ số thanh toán hiện thời,2.15,2.65,2.22,1.76,1.57
ALT,Chỉ số thanh toán nhanh,1.76,2.23,1.64,1.35,1.21
ALT,Chỉ số thanh toán tiền mặt,0.19,0.19,0.16,0.06,0.15
ALT,Đòn bẩy tài chính,1.37,1.29,1.42,1.48,1.69
ALT,Khả năng chi trả lãi vay,-0.02,4.87,6.14,2.55,0.95
ALV,Biên EBIT (%),-0.57,4.57,6.54,7.31,NaN
ALV,Biên lợi nhuận gộp (%),5.12,7.69,9.93,12.98,NaN
ALV,Biên lợi nhuận ròng (%),2.68,5.56,4.31,9.04,NaN
ALV,Chỉ số thanh toán hiện thời,1.74,3.7,1.93,1.98,NaN
ALV,Chỉ số thanh toán nhanh,1.72,1.89,1.71,1.72,NaN
ALV,Chỉ số thanh toán tiền mặt,0.2,1.11,0.41,0.79,NaN
ALV,Đòn bẩy tài chính,1.72,1.25,1.67,1.64,NaN
ALV,Khả năng chi trả lãi vay,NaN,NaN,6.64,5.2,NaN
AMC,Biên EBIT (%),6.17,5.43,5.44,5.48,4.82
AMC,Biên lợi nhuận gộp (%),45.98,44.86,46.41,41.49,40.12
AMC,Biên lợi nhuận ròng (%),4.96,4.49,3.83,4.38,3.87
AMC,Chỉ số thanh toán hiện thời,1.13,1.33,1.68,1.71,1.51
AMC,Chỉ số thanh toán nhanh,0.79,1.08,1.19,1.04,0.85
AMC,Chỉ số thanh toán tiền mặt,0.24,0.16,0.44,0.26,0.11
AMC,Đòn bẩy tài chính,1.91,1.7,1.5,1.53,1.93
AMC,Khả năng chi trả lãi vay,7.08,13.65,18.37,41.37,55.09
AMD,Biên EBIT (%),5.03,1.71,-29.65,NaN,NaN
AMD,Biên lợi nhuận gộp (%),8.12,2.94,4.15,NaN,NaN
AMD,Biên lợi nhuận ròng (%),2.15,0.72,-30.93,NaN,NaN
AMD,Chỉ số thanh toán hiện thời,2.96,3.36,3.65,NaN,NaN
AMD,Chỉ số thanh toán nhanh,2.55,2.6,2.65,NaN,NaN
AMD,Chỉ số thanh toán tiền mặt,0.02,0.02,0.0,NaN,NaN
AMD,Đòn bẩy tài chính,1.38,1.31,1.27,NaN,NaN
AMD,Khả năng chi trả lãi vay,1.58,0.87,-5.84,NaN,NaN
AME,Biên EBIT (%),5.6,4.7,3.69,3.98,3.61
AME,Biên lợi nhuận gộp (%),7.41,6.17,5.42,5.22,4.51
AME,Biên lợi nhuận ròng (%),1.49,1.17,0.94,0.96,0.68
AME,Chỉ số thanh toán hiện thời,1.15,1.25,1.5,1.41,1.29
AME,Chỉ số thanh toán nhanh,0.71,0.8,0.83,1.02,0.95
AME,Chỉ số thanh toán tiền mặt,0.01,0.02,0.03,0.01,0.01
AME,Đòn bẩy tài chính,6.36,8.41,2.8,3.2,3.98
AME,Khả năng chi trả lãi vay,1.48,1.48,1.49,1.39,1.24
AMP,Biên EBIT (%),3.33,1.54,1.35,1.34,NaN
AMP,Biên lợi nhuận gộp (%),9.32,6.09,6.37,7.21,NaN
AMP,Biên lợi nhuận ròng (%),0.64,0.38,0.34,0.35,NaN
AMP,Chỉ số thanh toán hiện thời,1.14,1.1,1.13,1.09,NaN
AMP,Chỉ số thanh toán nhanh,0.8,0.83,0.84,0.8,NaN
AMP,Chỉ số thanh toán tiền mặt,0.05,0.08,0.05,0.06,NaN
AMP,Đòn bẩy tài chính,5.06,6.21,5.38,6.07,NaN
AMP,Khả năng chi trả lãi vay,0.99,0.87,0.85,0.79,NaN
AMS,Biên EBIT (%),4.66,3.94,4.58,5.06,5.52
AMS,Biên lợi nhuận gộp (%),6.45,7.36,8.08,8.22,9.24
AMS,Biên lợi nhuận ròng (%),1.57,1.48,1.74,1.75,1.59
AMS,Chỉ số thanh toán hiện thời,1.03,1.02,1.02,1.05,1.01
AMS,Chỉ số thanh toán nhanh,0.49,0.43,0.5,0.62,0.53
AMS,Chỉ số thanh toán tiền mặt,0.15,0.05,0.1,0.1,0.08
AMS,Đòn bẩy tài chính,5.25,4.63,5.45,4.26,4.07
AMS,Khả năng chi trả lãi vay,1.76,2.25,1.96,1.53,1.79
AMV,Biên EBIT (%),43.17,43.7,23.31,16.52,4.96
AMV,Biên lợi nhuận gộp (%),50.17,49.94,29.28,25.23,10.56
AMV,Biên lợi nhuận ròng (%),53.53,35.53,19.8,7.05,1.08
AMV,Chỉ số thanh toán hiện thời,5.41,6.4,7.86,10.21,6.27
AMV,Chỉ số thanh toán nhanh,4.64,4.37,6.54,8.16,5.93
AMV,Chỉ số thanh toán tiền mặt,0.4,0.18,0.39,0.25,0.1
AMV,Đòn bẩy tài chính,1.12,1.26,1.19,1.17,1.17
AMV,Khả năng chi trả lãi vay,12.05,5.33,3.38,1.67,0.64
ANT,Biên EBIT (%),4.77,3.33,7.07,4.08,8.29
ANT,Biên lợi nhuận gộp (%),16.19,22.71,28.44,20.47,24.19
ANT,Biên lợi nhuận ròng (%),2.99,1.93,6.02,1.33,4.96
ANT,Chỉ số thanh toán hiện thời,0.88,1.02,0.81,0.97,1.01
ANT,Chỉ số thanh toán nhanh,0.52,0.47,0.34,0.47,0.56
ANT,Chỉ số thanh toán tiền mặt,0.35,0.21,0.05,0.07,0.08
ANT,Đòn bẩy tài chính,4.11,2.51,3.09,3.45,4.09
ANT,Khả năng chi trả lãi vay,0.21,2.17,6.94,1.01,3.04
ANV,Biên EBIT (%),7.06,6.18,17.63,4.13,3.95
ANV,Biên lợi nhuận gộp (%),14.09,15.84,27.27,10.08,11.41
ANV,Biên lợi nhuận ròng (%),5.88,3.68,13.76,0.88,0.99
ANV,Chỉ số thanh toán hiện thời,1.19,1.25,1.35,1.4,1.33
ANV,Chỉ số thanh toán nhanh,0.34,0.46,0.34,0.23,0.43
ANV,Chỉ số thanh toán tiền mặt,0.02,0.02,0.01,0.02,0.11
ANV,Đòn bẩy tài chính,2.07,2.09,1.9,1.8,1.74
ANV,Khả năng chi trả lãi vay,3.92,2.1,8.21,1.34,2.13
APC,Biên EBIT (%),35.12,9.48,8.66,-6.28,-1.01
APC,Biên lợi nhuận gộp (%),58.48,35.27,33.07,21.54,24.21
APC,Biên lợi nhuận ròng (%),32.1,-1.24,-6.64,-30.2,-15.91
